Adding 0.5:
4503599627370497.000	4503599627370498.000	1.000

(x+y)+z:	1.000
x+(y+z):	0.000

Possible bug! f=0.499756, bad_round=1.000, slow_round=0.000
Possible bug! f=1025.000000, bad_round=1026.000, slow_round=1025.000
Possible bug! f=1027.000000, bad_round=1028.000, slow_round=1027.000
Possible bug! f=1029.000000, bad_round=1030.000, slow_round=1029.000
Possible bug! f=1031.000000, bad_round=1032.000, slow_round=1031.000
Possible bug! f=1033.000000, bad_round=1034.000, slow_round=1033.000
Possible bug! f=1035.000000, bad_round=1036.000, slow_round=1035.000
Possible bug! f=1037.000000, bad_round=1038.000, slow_round=1037.000
Possible bug! f=1039.000000, bad_round=1040.000, slow_round=1039.000
Possible bug! f=1041.000000, bad_round=1042.000, slow_round=1041.000
Possible bug! f=1043.000000, bad_round=1044.000, slow_round=1043.000
Possible bug! f=1045.000000, bad_round=1046.000, slow_round=1045.000
Possible bug! f=1047.000000, bad_round=1048.000, slow_round=1047.000
Possible bug! f=1049.000000, bad_round=1050.000, slow_round=1049.000
Possible bug! f=1051.000000, bad_round=1052.000, slow_round=1051.000
Possible bug! f=1053.000000, bad_round=1054.000, slow_round=1053.000
Possible bug! f=1055.000000, bad_round=1056.000, slow_round=1055.000
Possible bug! f=1057.000000, bad_round=1058.000, slow_round=1057.000
Possible bug! f=1059.000000, bad_round=1060.000, slow_round=1059.000
Possible bug! f=1061.000000, bad_round=1062.000, slow_round=1061.000
Possible bug! f=1063.000000, bad_round=1064.000, slow_round=1063.000
Possible bug! f=1065.000000, bad_round=1066.000, slow_round=1065.000
Possible bug! f=1067.000000, bad_round=1068.000, slow_round=1067.000
Possible bug! f=1069.000000, bad_round=1070.000, slow_round=1069.000
Possible bug! f=1071.000000, bad_round=1072.000, slow_round=1071.000
Possible bug! f=1073.000000, bad_round=1074.000, slow_round=1073.000
Possible bug! f=1075.000000, bad_round=1076.000, slow_round=1075.000
Possible bug! f=1077.000000, bad_round=1078.000, slow_round=1077.000
Possible bug! f=1079.000000, bad_round=1080.000, slow_round=1079.000
Possible bug! f=1081.000000, bad_round=1082.000, slow_round=1081.000
Possible bug! f=1083.000000, bad_round=1084.000, slow_round=1083.000
Possible bug! f=1085.000000, bad_round=1086.000, slow_round=1085.000
Possible bug! f=1087.000000, bad_round=1088.000, slow_round=1087.000
Possible bug! f=1089.000000, bad_round=1090.000, slow_round=1089.000
Possible bug! f=1091.000000, bad_round=1092.000, slow_round=1091.000
Possible bug! f=1093.000000, bad_round=1094.000, slow_round=1093.000
Possible bug! f=1095.000000, bad_round=1096.000, slow_round=1095.000
Possible bug! f=1097.000000, bad_round=1098.000, slow_round=1097.000
Possible bug! f=1099.000000, bad_round=1100.000, slow_round=1099.000
Possible bug! f=1101.000000, bad_round=1102.000, slow_round=1101.000
Possible bug! f=1103.000000, bad_round=1104.000, slow_round=1103.000
Possible bug! f=1105.000000, bad_round=1106.000, slow_round=1105.000
Possible bug! f=1107.000000, bad_round=1108.000, slow_round=1107.000
Possible bug! f=1109.000000, bad_round=1110.000, slow_round=1109.000
Possible bug! f=1111.000000, bad_round=1112.000, slow_round=1111.000
Possible bug! f=1113.000000, bad_round=1114.000, slow_round=1113.000
Possible bug! f=1115.000000, bad_round=1116.000, slow_round=1115.000
Possible bug! f=1117.000000, bad_round=1118.000, slow_round=1117.000
Possible bug! f=1119.000000, bad_round=1120.000, slow_round=1119.000
Possible bug! f=1121.000000, bad_round=1122.000, slow_round=1121.000
Possible bug! f=1123.000000, bad_round=1124.000, slow_round=1123.000
Possible bug! f=1125.000000, bad_round=1126.000, slow_round=1125.000
Possible bug! f=1127.000000, bad_round=1128.000, slow_round=1127.000
Possible bug! f=1129.000000, bad_round=1130.000, slow_round=1129.000
Possible bug! f=1131.000000, bad_round=1132.000, slow_round=1131.000
Possible bug! f=1133.000000, bad_round=1134.000, slow_round=1133.000
Possible bug! f=1135.000000, bad_round=1136.000, slow_round=1135.000
Possible bug! f=1137.000000, bad_round=1138.000, slow_round=1137.000
Possible bug! f=1139.000000, bad_round=1140.000, slow_round=1139.000
Possible bug! f=1141.000000, bad_round=1142.000, slow_round=1141.000
Possible bug! f=1143.000000, bad_round=1144.000, slow_round=1143.000
Possible bug! f=1145.000000, bad_round=1146.000, slow_round=1145.000
Possible bug! f=1147.000000, bad_round=1148.000, slow_round=1147.000
Possible bug! f=1149.000000, bad_round=1150.000, slow_round=1149.000
Possible bug! f=1151.000000, bad_round=1152.000, slow_round=1151.000
Possible bug! f=1153.000000, bad_round=1154.000, slow_round=1153.000
Possible bug! f=1155.000000, bad_round=1156.000, slow_round=1155.000
